"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","prompt_id","true_score","pred_score","pred_score_posterior_mean","pred_score_hdi_2.5","pred_score_hdi_97.5","pred_score_hdi_width","pred_score_covered","abs_error"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P01_direct","0.71","0.6900084136951157","0.6889740669898038","0.628317449136425","0.7457082050331829","0.11739075589675796","True","0.01999158630488429"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P02_concise","0.61","0.7031048386688079","0.7017970242508391","0.6464012588684505","0.7755765335986617","0.1291752747302113","False","0.09310483866880792"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P03_step_by_step","0.74","0.7058992196962134","0.7041645796513936","0.6507356184355234","0.7626861641377529","0.11195054570222951","True","0.034100780303786604"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P04_formal","0.68","0.6653898390788204","0.6625396701324044","0.57221839987323","0.7150022870709208","0.14278388719769086","True","0.014610160921179616"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P05_verify","0.66","0.6744808660072548","0.6733061302357706","0.6054346205862633","0.7287382036220166","0.12330358303575328","True","0.014480866007254733"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P06_answer_only","0.64","0.6785619517215687","0.675040360008799","0.6018724716657362","0.735322652678271","0.1334501810125348","True","0.03856195172156873"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P07_careful","0.71","0.6857653218955153","0.6855777047003772","0.6207910882610203","0.7526514843906699","0.13186039612964962","True","0.024234678104484653"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P08_short_proof","0.63","0.6500578945260921","0.6491368228586812","0.5646164276221757","0.6978576833875156","0.13324125576533996","True","0.02005789452609208"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P09_competition","0.74","0.687723191068882","0.6888362766743038","0.6373405249601227","0.7491782533529658","0.11183772839284312","True","0.05227680893111797"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P10_independent_check","0.72","0.6933882345149713","0.6929265433060388","0.637974952818839","0.7505294188121863","0.11255446599334729","True","0.026611765485028638"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P11_plan_then_solve","0.72","0.6939604121368516","0.6908777201309166","0.6214812289316265","0.7533701750483222","0.13188894611669566","True","0.026039587863148417"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P12_no_guessing","0.68","0.6836404153062914","0.6813792446437072","0.6273369073025895","0.7326646847754366","0.10532777747284705","True","0.0036404153062913336"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P13_symbolic","0.71","0.6850946611900303","0.6828219007922821","0.621495657928982","0.7317929857977634","0.11029732786878144","True","0.0249053388099697"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P14_work_backwards","0.69","0.6937057750379587","0.6928041215277744","0.6349120179303522","0.7641438181523278","0.12923180022197556","True","0.0037057750379587695"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P15_cases","0.71","0.6782315109833502","0.6768467942551788","0.6085107140660453","0.7278125727771297","0.11930185871108445","True","0.03176848901664975"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P16_invariants","0.73","0.6867527223969188","0.685324286282915","0.6115002996448844","0.7483333678538543","0.1368330682089699","True","0.043247277603081224"
"m2_bayesian_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P17_constructive","0.63","0.6766992074797702","0.6761834204544345","0.6033328336253304","0.7347157864680995","0.13138295284276913","True","0.04669920747977019"
