benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,Avg,0.26349999503140004,0.01675151699501604,0.3548813752056322,0.011935223086654971,0.23937999503140003,0.016587062880498715,5.076400411480813,0.30041544456147584,0.38028060710428574,0.008809630161645623,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,BayPIRE,0.03073156878493636,0.005600455473408585,0.037358725688177614,0.006142111256371687,0.024005199336876927,0.00784681946194076,0.35848620145498045,0.018483997783726072,0.10332741717660414,0.007327274175613887,1.0,0.9970000000000001,0.006749485577105536,0.23402779815797872,0.02825396707634685,0.2337838731345941,0.028392629095064154,1.0,0.0,0.26005399999999984,0.02592417598068984,0.26002499999999984,0.026625084767731746,1.0,0.0,0.0907661521634269,0.003940923646146481,1.0,0.0,0.09195349999999994,0.003992236772092123
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,Bayes-MAP,0.0783589624568506,0.0045149330189286985,0.09623529827292948,0.004585188464204504,0.05557075718579839,0.007017506530622459,0.5347429012161015,0.008010066425837965,0.17454675709193085,0.003850188718791043,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,PE-Rasch,0.12906696303017468,0.015700112244376487,0.16484076064822237,0.014838200888418224,0.10550969079449021,0.018212380359222718,0.5764777716228585,0.05502742346566227,0.15318782409315684,0.01271292253425236,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,Avg,0.1873099990016,0.021106841667704924,0.23905587063961167,0.020650255132813437,0.1631899990016,0.021359278178961418,1.6784603301378893,0.33259585322925295,0.3113854156039583,0.010584817215776879,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,BayPIRE,0.026249030421694013,0.007255787199960326,0.032756375018638303,0.0076653417553403025,0.019733528751131504,0.009518576725191246,0.29066341269041984,0.0108922949467429,0.08471224534131655,0.0036433665158781157,1.0,0.952,0.05731007280089985,0.147431554634251,0.02953800679354522,0.14731416720938867,0.02933038456532397,0.99,0.013333333333333357,0.1806529999999999,0.02443259806760904,0.18056249999999974,0.023209810695048492,0.9,0.31622776601683794,0.05481305119443591,0.0023969954442959475,0.9,0.31622776601683794,0.05606525,0.0020717898361079312
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,Bayes-MAP,0.06709094548339206,0.0026434854969383504,0.08283002117280835,0.00400842921481604,0.04444040326961409,0.005699596324415394,0.4433163791905751,0.0040065412356739515,0.13405000197310396,0.001894898297057426,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,PE-Rasch,0.0947316931095667,0.009956526314032056,0.1333573091150167,0.010806761561612456,0.07321793859170911,0.011491012423781756,0.5520961037809744,0.03812538397261972,0.1308884591887489,0.00777743274317562,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,Avg,0.1348899999356,0.01114130947306326,0.17097837900274865,0.011137716236306364,0.11126999993560001,0.010539718486907622,0.8332831422298892,0.07516981932923275,0.2834769020995652,0.004607071137679482,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,BayPIRE,0.024455936726554262,0.0028583817945412476,0.030460830832549433,0.003737748964362864,0.01478929492391864,0.003942871623406032,0.25535852830882005,0.008223569447581226,0.07746263709727468,0.0026700448207258322,1.0,0.891,0.07415449338299666,0.10888568306156268,0.03216990137548122,0.10913072114297155,0.031987942834641535,0.9869999999999999,0.013374935098492606,0.14613774999999998,0.025870478575706887,0.14702499999999985,0.0245210935273649,1.0,0.0,0.034510836308934964,0.0010199795017526642,1.0,0.0,0.03598375000000002,0.0011031566134910387
