method,mask_type,requested_budget_round,effective_budget_round,cover_avg,cover_sd,cover_min,cover_q25,cover_q50,cover_q75,cover_max
m0_naive,random_uniform,0.1,0.1,,,,,,,
m1_additive,random_uniform,0.1,0.1,,,,,,,
pe_rasch,random_uniform,0.1,0.1,,,,,,,
m2_bayesian_additive,random_uniform,0.1,0.1,0.95,1.0,1.0,1.0,0.95,1.0,0.95
m0_naive,random_uniform,0.2,0.2,,,,,,,
m1_additive,random_uniform,0.2,0.2,,,,,,,
pe_rasch,random_uniform,0.2,0.2,,,,,,,
m2_bayesian_additive,random_uniform,0.2,0.2,0.95,0.85,1.0,0.85,0.6,0.95,0.4
m0_naive,random_uniform,0.3,0.3,,,,,,,
m1_additive,random_uniform,0.3,0.3,,,,,,,
pe_rasch,random_uniform,0.3,0.3,,,,,,,
m2_bayesian_additive,random_uniform,0.3,0.3,0.9,0.9,1.0,0.8,0.6,1.0,0.3
m0_naive,random_uniform,0.6,0.6,,,,,,,
m1_additive,random_uniform,0.6,0.6,,,,,,,
pe_rasch,random_uniform,0.6,0.6,,,,,,,
m2_bayesian_additive,random_uniform,0.6,0.6,0.75,0.5,0.75,0.6,0.2,0.9,0.2
m0_naive,two_way_balanced,0.1,0.1,,,,,,,
m1_additive,two_way_balanced,0.1,0.1,,,,,,,
pe_rasch,two_way_balanced,0.1,0.1,,,,,,,
m2_bayesian_additive,two_way_balanced,0.1,0.1,0.9,1.0,1.0,0.9,1.0,1.0,1.0
m0_naive,two_way_balanced,0.2,0.2,,,,,,,
m1_additive,two_way_balanced,0.2,0.2,,,,,,,
pe_rasch,two_way_balanced,0.2,0.2,,,,,,,
m2_bayesian_additive,two_way_balanced,0.2,0.2,0.8,0.95,0.95,0.9,0.85,0.85,0.7
m0_naive,two_way_balanced,0.3,0.3,,,,,,,
m1_additive,two_way_balanced,0.3,0.3,,,,,,,
pe_rasch,two_way_balanced,0.3,0.3,,,,,,,
m2_bayesian_additive,two_way_balanced,0.3,0.3,0.9,0.8,0.9,0.7,0.45,0.9,0.3
m0_naive,two_way_balanced,0.6,0.6,,,,,,,
m1_additive,two_way_balanced,0.6,0.6,,,,,,,
pe_rasch,two_way_balanced,0.6,0.6,,,,,,,
m2_bayesian_additive,two_way_balanced,0.6,0.6,0.75,0.65,0.95,0.6,0.25,1.0,0.3
