benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.28271606677707145,0.017687491544721958,0.35423573821076065,0.013847695353108378,0.25978606677707144,0.017325903259822698,4.802419342094619,0.3573574485558413,0.3795999857436659,0.010226025049884178,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.03302737664337063,0.010447159062640451,0.03943022413004259,0.01072806025957665,0.027500625001485396,0.013457407711915037,0.4110584437604543,0.018181101124674512,0.12635357830403776,0.0074802875946587645,1.0,0.9904999999999999,0.021144863753590305,0.95,0.22360679774997896,0.23705842593384382,0.03265610684219691,0.23746131738018716,0.03333840697013119,0.11428245689928554,0.005211766527529457
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.07245211690521677,0.00821128454574287,0.08854956859856641,0.008732260427474312,0.05222282580282437,0.010089371183014388,0.5514096251159564,0.00912586551704902,0.18286104649292384,0.004459181524433867,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.12460011518176924,0.012150492490202145,0.16363591464409957,0.013243351176453996,0.10200743265703167,0.012090833016432316,0.6254687606982603,0.05561460150229001,0.1707308272613022,0.01260872773314201,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.22535070296360532,0.015923763644582725,0.28419134180533,0.016012787565135803,0.20229125851916083,0.015970848521773207,2.835840188603458,0.33125693895945346,0.3361428419846953,0.009817777436059622,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.025124196842782952,0.003330998015499717,0.03179555064866657,0.0041864500150399905,0.016831050624594678,0.004579745417823386,0.31926617249714867,0.013174251077360035,0.09370533906595378,0.005364162842042541,1.0,0.9715,0.02277463963548743,1.0,0.0,0.1672542895690697,0.04489267728783129,0.16787188349739615,0.045275097938609565,0.06744558551507678,0.003856963458165282
mmlu:college_computer_science,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.06820929554748084,0.005940263258688584,0.08418000133068286,0.007254662309530662,0.04582731516719242,0.00623309664736072,0.46643402990404265,0.010566572192307047,0.1449842204543947,0.004959796028063273,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.10519352067218708,0.01568866934382781,0.14412530260919204,0.015541696496944908,0.08288445048826815,0.016541357257946452,0.5974265165003425,0.0638792679076659,0.14374569649780441,0.014744321298361179,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.14738364881673688,0.009957943171373263,0.18581794476624808,0.0115383515143442,0.12642935089243895,0.009629937007948584,1.0465887113616912,0.10155945659127585,0.28940906492925883,0.004877460580690151,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.023272043474926264,0.002686932821167532,0.029203283425536436,0.003065371102313748,0.01619437237032737,0.004220281320684539,0.2693037588688211,0.006140040231294491,0.07941356037194516,0.0023067370579379475,1.0,0.9075,0.04982865377312642,0.85,0.3663475485325232,0.10481355337486994,0.01957513721953503,0.10499528037613466,0.019737941170521904,0.03906926160004087,0.0017143745332214282
mmlu:college_computer_science,meta_llama_llama_3_8b,800.0,random_uniform,Bayes-MAP,0.05454217333429427,0.004892798250724018,0.06786015046494982,0.005463184452027571,0.03417154725451353,0.005534748165511664,0.37905432023326896,0.0034675586458387253,0.1093772800246217,0.001607767643304671,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,800.0,random_uniform,PE-Rasch,0.07974063670838873,0.007791587324707821,0.10489174129931042,0.010596340801095314,0.060655188990499063,0.00830426399076889,0.43430584245826626,0.039299557296681456,0.11073559121077148,0.007082138350833888,1.0,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,1600.0,random_uniform,Avg,0.094898615724288,0.009266572329828582,0.11905015970925836,0.01047673405175869,0.07455398130395294,0.010024683401015299,0.7394521300177908,0.023547032006658194,0.26870787227296816,0.003303551672411139,,,,,,,,,,,
