benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.28418678084368576,0.019893030002520407,0.3472734774523874,0.018177301751818323,0.2593834475103524,0.020175389227804198,4.671412897359709,0.4224987251801311,0.3644808670906477,0.012870479686363472,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.03302768872687946,0.007905750288579807,0.04017745631340133,0.008749420781008085,0.027039302731804726,0.0101354778658925,0.4000741339774098,0.015709899727088642,0.12241011797170662,0.006266681284199159,1.0,0.9914999999999999,0.014608937423083845,1.0,0.0,0.23142882550496333,0.0304550648978605,0.2317301623483914,0.030783440659747013,0.11166185614300847,0.004847632592965044
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.07075306197490785,0.008883539074947922,0.08575213069833364,0.008705019163355015,0.04597036623084687,0.012050851866820386,0.5362810002565794,0.007928211028896948,0.17697122624627437,0.004118921847670158,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.12350556641106973,0.01476201385187301,0.16420086885050827,0.017300606721501632,0.09680050864709253,0.01571770175925739,0.6273197154293633,0.053202043501822636,0.16969433610111628,0.0131276647500822,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.21452769424979662,0.01480963165079751,0.2689440015488104,0.01592709897539414,0.19182067044027282,0.015677876363062393,2.637385757535672,0.31128233326047083,0.31696626595274313,0.00896722747044867,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.027536179929177264,0.00211594037015798,0.03396354027836442,0.002584281754853895,0.019537858770409044,0.0051303382630501415,0.31128348544900575,0.01124350077053031,0.09218952362136393,0.004405733699403934,1.0,0.9730000000000001,0.03798891805167451,1.0,0.0,0.1661816754876205,0.036899192232997355,0.1666049202109084,0.03673489701894429,0.06744058606038068,0.003969068121972813
mmlu:business_ethics,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.06361730220533138,0.003919568824320042,0.07867787031907104,0.004414274325199506,0.03938270081079428,0.004891331375831089,0.4527867630022758,0.008328695314849767,0.1406195084492698,0.004270323879892888,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.0993595743175545,0.01281850938515948,0.1354968724456768,0.011639457448173702,0.07661110123964118,0.013586909714826501,0.5763598844040596,0.0462143403024776,0.13956117031868048,0.011299271597713725,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.14206663458327687,0.010900143316797724,0.18157086239336592,0.013490421216658246,0.11932524236438465,0.010536698440477228,1.1213844341297405,0.14457515603973822,0.277495755157786,0.005814334050001687,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.025211098736275715,0.0015156126859029392,0.031489751653583656,0.0017670690198742474,0.017778158027207565,0.0027745541143782246,0.2602285562720789,0.005942066035211467,0.07794036441676695,0.0018644336910506943,1.0,0.8785000000000001,0.06892215288203594,1.0,0.0,0.10581115101570997,0.0242907333717018,0.10614045863357231,0.024413906051197577,0.03891438885393618,0.0014785250217362578
mmlu:business_ethics,meta_llama_llama_3_8b,800.0,random_uniform,Bayes-MAP,0.05310333791211769,0.005032340771450466,0.0666475747235874,0.00589024751233621,0.029724161178537295,0.005097559900145421,0.36794255007333104,0.005158559191234263,0.10665732910821679,0.0024792356273002874,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,800.0,random_uniform,PE-Rasch,0.08226826303838904,0.00787276468489567,0.1075061741747018,0.010691437289464324,0.06047945259032853,0.007630987631500315,0.4445854116544945,0.04547046424249805,0.11287165561041286,0.006811972622732408,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,1600.0,random_uniform,Avg,0.09335905173804397,0.004914797125670808,0.11684720884003483,0.005287731218654866,0.07177468545208124,0.006316752442491484,0.7247731546806307,0.026988793258370693,0.2577337753399757,0.0016283434300737583,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,1600.0,random_uniform,BayPIRE,0.02387401964863107,0.001585350688247502,0.029774213748527012,0.0015783946196366713,0.013752600369688037,0.003663507779963815,0.23840551296414386,0.004871490158651211,0.07314106291732717,0.0016090387342542287,1.0,0.8140000000000001,0.10490095579314704,0.95,0.22360679774997896,0.08524743062955335,0.02053146333286833,0.08514290638257016,0.020523878874788782,0.023364476399714618,0.0007785427458236608
mmlu:business_ethics,meta_llama_llama_3_8b,1600.0,random_uniform,Bayes-MAP,0.040966000878561365,0.002986518472753125,0.051436028660586,0.003557497105799843,0.019641295222031174,0.003780781387857414,0.3062239274629083,0.0036860151807163034,0.08614392014287413,0.0016047026722662125,1.0,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,1600.0,random_uniform,PE-Rasch,0.05470608872898118,0.00358987811439909,0.07063394655736452,0.004818083289052425,0.03499646698472733,0.0047079944365781366,0.30366564598032497,0.014807016122017104,0.08897802719655935,0.0028963166456309145,1.0,,,,,,,,,,
